price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,review_scores_value,license,instant_bookable,distance_min,amenity_parking,amenity_luxurious,amenity_workspace,amenity_dryer,amenity_washer,amenity_outdoor,amenity_security,amenity_balcony_view,amenity_entertainment,amenity_family,amenity_fitness,amenity_pet_friendly,amenity_accessibility,amenities_count,is_entire_home
231.0,40.8180576,-73.9466707,2,1.0,1.0,1.0,4.81,True,False,4.090153750865976,True,True,True,True,True,True,False,True,False,False,False,True,False,48,False
147.0,40.71065139770508,-73.95087432861328,2,1.0,1.0,1.0,4.78,True,False,3.922098040910615,True,True,True,True,True,False,False,False,False,False,False,False,False,29,False
211.0,40.684569430603325,-73.93840021354636,5,1.0,2.0,4.0,4.69,False,True,5.492217554910369,True,False,False,True,False,False,True,False,False,False,True,False,False,43,True
157.0,40.6736,-73.9551,2,1.0,1.0,1.0,4.72,True,False,5.050682336081042,True,False,False,True,False,False,False,False,False,False,False,False,False,25,True
150.0,40.66952,-73.99201,3,1.0,1.0,2.0,4.9,False,False,4.083108467140739,True,True,True,True,True,False,False,True,False,False,False,False,True,43,True
185.0,40.67813,-74.00062,2,1.0,1.0,1.0,4.64,False,False,3.121886696575238,False,False,False,True,False,False,True,False,False,False,False,False,False,23,False
110.0,40.69287,-73.97108,2,1.0,1.0,1.0,4.71,False,False,2.630680173802397,False,True,True,False,False,False,False,False,False,False,False,False,False,10,False
99.0,40.8063,-73.95985,2,1.0,1.0,1.0,4.63,False,False,2.460487341514938,False,False,False,True,True,False,False,False,False,False,False,False,True,9,False
85.0,40.68009896425498,-73.9746189673198,2,1.0,1.0,1.0,4.65,True,False,3.4472644721616663,False,True,True,True,False,False,True,True,False,False,False,False,False,32,False
95.0,40.6829,-73.95701,3,2.0,1.0,2.0,4.32,False,False,4.243239850106069,True,True,True,True,True,False,True,False,False,False,False,False,False,38,False
78.0,40.82772,-73.95284,1,1.5,1.0,1.0,4.85,False,False,4.910076160006259,True,True,True,True,True,False,False,True,False,True,False,False,True,49,False
175.0,40.72741,-73.95466,3,1.0,1.0,2.0,4.65,False,False,3.5221327522189263,False,False,False,True,True,False,False,False,False,False,False,False,False,26,True
95.0,40.69132,-73.97306,2,1.0,1.0,1.0,4.68,False,False,2.5987710931537613,False,False,False,False,False,False,False,False,False,False,False,False,False,8,False
60.0,40.67582,-73.9518,2,1.0,1.0,1.0,4.82,False,False,5.083228949750818,False,True,True,False,False,False,True,False,False,False,False,False,False,24,False
176.0,40.77868,-73.90652,2,1.0,2.0,2.0,4.88,True,False,4.78534022116791,True,True,True,True,True,False,True,False,True,True,False,False,False,51,False
259.0,40.80687,-73.95333,4,1.0,2.0,3.0,4.63,False,False,2.728066976927122,True,False,False,True,True,False,False,False,False,False,False,False,True,23,True
110.0,40.76406,-73.92266,2,1.0,1.0,1.0,4.59,False,False,3.823083621321576,True,False,False,True,False,False,False,False,False,False,True,False,False,22,True
99.0,40.68595,-73.92923,2,1.0,1.0,1.0,4.86,False,False,6.141633454489221,True,True,True,True,False,False,True,False,False,False,False,False,False,31,True
